Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
L'Abergement-Clémenciat,01001,BOULON,Daniel,18/05/2020
L'Abergement-De-Varey,01002,ORSET,Max,18/05/2020
Ambérieu-En-Bugey,01004,FABRE,Daniel,18/05/2020
Ambérieux-En-Dombes,01005,FORNES,Christine,02/05/2021
Ambléon,01006,BIONDA,Annie,18/05/2020
Ambronay,01007,MANCUSO,Vincent,26/03/2023
Ambutrix,01008,DELOFFRE,Dominique,18/05/2020
Andert-Et-Condon,01009,GUILLERMIN,Patrick,18/05/2020
Apremont,01011,DOCHE,Claude,28/06/2020
Aranc,01012,MATHIEU,Daniel,28/06/2020
Arandas,01013,MANOS,Lionel,18/05/2020
Arbent,01014,CRACCHIOLO,Philippe,18/05/2020
Arboys En Bugey,01015,RIERA,Michel-Charles,18/05/2020
Arbigny,01016,GRAS,Daniel,18/05/2020
Argis,01017,BOU,Laurent,02/10/2022
Armix,01019,VUILLOUD,Véronique,18/05/2020
Ars-Sur-Formans,01021,PACCAUD,Richard,18/05/2020
Artemare,01022,DESCHAMPS,Roland,18/05/2020
Asnières-Sur-Saône,01023,WILLEMS,Jean-Marc,18/05/2020
Attignat,01024,MARTIN,Walter,18/05/2020
Bâgé-Dommartin,01025,BERNIGAUD,Christian,18/05/2020
Bâgé-Le-Châtel,01026,MALATERRE,Jean Louis,18/05/2020
Balan,01027,MEANT,Patrick,18/05/2020
Baneins,01028,GRANGE,Jean-Pierre,18/05/2020
Beaupont,01029,JANODET,Gérard,18/05/2020
Beauregard,01030,GUYON,Nadia,19/03/2023
Bellignat,01031,RAVET,Véronique,18/05/2020
Béligneux,01032,FERRAND,Philippe,18/05/2020
Valserhône,01033,PETIT,Régis,18/05/2020
Belley,01034,LAHUERTA,Dimitri,28/06/2020
Belleydoux,01035,COURTOIS,Pascal,18/05/2020
Valromey-Sur-Seran,01036,GODET,Pauline,18/05/2020
Bénonces,01037,RIGHETTI-GILOTTE,Sylvie,18/05/2020
Bény,01038,BAVOUX,Patrick,18/05/2020
Béréziat,01040,THEVENON,Jean-Jacques,18/05/2020
Bettant,01041,VIGNOLLET,Marie-Françoise,18/05/2020
Bey,01042,GENTIL,Michel,18/05/2020
Beynost,01043,TERRIER,Caroline,28/06/2020
Billiat,01044,BEAUQUIS,Jean-Marc,18/05/2020
Birieux,01045,BAILLET,Cyril,28/06/2020
Biziat,01046,AGATY,Guillaume,18/05/2020
Blyes,01047,MARTIN,Daniel,18/05/2020
La Boisse,01049,RAPHANEL,Gérard,18/05/2020
Boissey,01050,TIRREAU,Andrée,18/05/2020
Bolozon,01051,GIROD,Etienne,18/05/2020
Bouligneux,01052,COMTET,Laurent,18/05/2020
Bourg-En-Bresse,01053,DEBAT,Jean-François,28/06/2020
Bourg-Saint-Christophe,01054,PERRET,Bernard,18/05/2020
Boyeux-Saint-Jérôme,01056,CHAPEL,Marie-Christine,18/05/2020
Boz,01057,GIRAUD,Alain,18/05/2020
Brégnier-Cordon,01058,VERGAIN,Thierry,28/06/2020
Brénod,01060,RAVOT,Etienne,28/06/2020
Brens,01061,LACHIZE PICCINO,Sandrine,30/11/2024
Bressolles,01062,RACCURT,Andrée,18/05/2020
Brion,01063,GUINET,Sébastien,18/05/2020
Briord,01064,BLANC,Patrick,18/05/2020
Buellas,01065,CHANEL,Michel,09/10/2020
La Burbanche,01066,MARIÉ,Patrick,18/05/2020
Ceignes,01067,AUBOEUF,Alain,18/05/2020
Cerdon,01068,CASAMASSA,Eric,18/05/2020
Certines,01069,TAVEL,Denis,18/05/2020
Cessy,01071,BOUVIER,Christophe,18/05/2020
Ceyzériat,01072,FLOCHON,Jean-Yves,18/05/2020
Ceyzérieu,01073,KELLER,Myriam,18/05/2020
Chalamont,01074,CHARVIEUX,Bruno,18/05/2020
Chaleins,01075,MOLINES,Lucien,18/05/2020
Chaley,01076,PUIGMAL,Ludovic,18/05/2020
Challes-La-Montagne,01077,PERRET,Yves,28/06/2020
Challex,01078,HOFER FAVRE,Aline,02/04/2023
Champagne-En-Valromey,01079,JUILLET,Claude,28/06/2020
Champdor-Corcelles,01080,MARTINAND,Stéphane,18/05/2020
Champfromier,01081,VIALON,Jacques,18/05/2020
Chanay,01082,JEAMBENOIT,Elisabeth,18/05/2020
Chaneins,01083,FLAMAND,Patrice,18/05/2020
Chanoz-Châtenay,01084,MORANDAT,Olivier,18/05/2020
La Chapelle-Du-Châtelard,01085,RIMAUD,Cyrille,28/06/2020
Charix,01087,PALISSON,Didier,28/06/2020
