nom_commune,cog_commune,siren_commune,nuance_politique,famille_nuance
L'Abergement-Clémenciat,01001,210100012,NC,Non classé
L'Abergement-De-Varey,01002,210100020,NC,Non classé
Ambérieu-En-Bugey,01004,210100046,LDVC,Centre
Ambérieux-En-Dombes,01005,210100053,,
Ambléon,01006,210100061,NC,Non classé
Ambronay,01007,210100079,LNC,Non classé
Ambutrix,01008,210100087,NC,Non classé
Andert-Et-Condon,01009,210100095,NC,Non classé
Anglefort,01010,210100103,LNC,Non classé
Apremont,01011,210100111,NC,Non classé
Aranc,01012,210100129,NC,Non classé
Arandas,01013,210100137,NC,Non classé
Arbent,01014,210100145,LNC,Non classé
Arboys En Bugey,01015,200053668,NC,Non classé
Arbigny,01016,210100160,NC,Non classé
Argis,01017,210100178,,
Armix,01019,210100194,NC,Non classé
Ars-Sur-Formans,01021,210100210,LNC,Non classé
Artemare,01022,210100228,LNC,Non classé
Asnières-Sur-Saône,01023,210100236,NC,Non classé
Attignat,01024,210100244,LNC,Non classé
Bâgé-Dommartin,01025,200077220,LDIV,Courants politiques divers
Bâgé-Le-Châtel,01026,210100269,NC,Non classé
Balan,01027,210100277,LNC,Non classé
Baneins,01028,210100285,NC,Non classé
Beaupont,01029,210100293,NC,Non classé
Beauregard,01030,210100301,NC,Non classé
Bellignat,01031,210100319,LDVG,Gauche
Béligneux,01032,210100327,,
Valserhône,01033,200083863,LDVD,Droite
Belley,01034,210100343,LDVD,Droite
Belleydoux,01035,210100350,NC,Non classé
Valromey-Sur-Seran,01036,200086411,LNC,Non classé
Bénonces,01037,210100376,NC,Non classé
Bény,01038,210100384,NC,Non classé
Béréziat,01040,210100400,NC,Non classé
Bettant,01041,210100418,NC,Non classé
Bey,01042,210100426,NC,Non classé
Beynost,01043,210100434,LDVD,Droite
Billiat,01044,210100442,NC,Non classé
Birieux,01045,210100459,NC,Non classé
Biziat,01046,210100467,NC,Non classé
Blyes,01047,210100475,LNC,Non classé
La Boisse,01049,210100491,LNC,Non classé
Boissey,01050,210100509,NC,Non classé
Bolozon,01051,210100517,NC,Non classé
Bouligneux,01052,210100525,NC,Non classé
Bourg-En-Bresse,01053,210100533,LUG,Gauche
Bourg-Saint-Christophe,01054,210100541,LNC,Non classé
Boyeux-Saint-Jérôme,01056,210100566,NC,Non classé
Boz,01057,210100574,NC,Non classé
Brégnier-Cordon,01058,210100582,NC,Non classé
Brénod,01060,210100608,NC,Non classé
Brens,01061,210100616,LNC,Non classé
Bressolles,01062,210100624,NC,Non classé
Brion,01063,210100632,NC,Non classé
Briord,01064,210100640,LNC,Non classé
Buellas,01065,210100657,,
La Burbanche,01066,210100665,NC,Non classé
Ceignes,01067,210100673,NC,Non classé
Cerdon,01068,210100681,NC,Non classé
Certines,01069,210100699,,
Cessy,01071,210100715,LDVD,Droite
Ceyzériat,01072,210100723,LNC,Non classé
Ceyzérieu,01073,210100731,LNC,Non classé
Chalamont,01074,210100749,LNC,Non classé
Chaleins,01075,210100756,LNC,Non classé
Chaley,01076,210100764,NC,Non classé
Challes-La-Montagne,01077,210100772,NC,Non classé
Challex,01078,210100780,,
Champagne-En-Valromey,01079,210100798,NC,Non classé
Champdor-Corcelles,01080,200056695,NC,Non classé
Champfromier,01081,210100814,NC,Non classé
Chanay,01082,210100822,,
Chaneins,01083,210100830,NC,Non classé
Chanoz-Châtenay,01084,210100848,NC,Non classé
La Chapelle-Du-Châtelard,01085,210100855,NC,Non classé
Charix,01087,210100871,NC,Non classé
Charnoz-Sur-Ain,01088,210100889,NC,Non classé
Château-Gaillard,01089,210100897,LNC,Non classé
Châtenay,01090,210100905,NC,Non classé
Châtillon-La-Palud,01092,210100921,LNC,Non classé
Châtillon-Sur-Chalaronne,01093,210100939,LDVD,Droite
Chavannes-Sur-Reyssouze,01094,210100947,NC,Non classé
Nivigne Et Suran,01095,200062537,NC,Non classé
Chaveyriat,01096,210100962,,
Chazey-Bons,01098,200063121,LNC,Non classé
Chazey-Sur-Ain,01099,210100996,LNC,Non classé
Cheignieu-La-Balme,01100,210101002,NC,Non classé
Chevillard,01101,210101010,NC,Non classé
Chevroux,01102,210101028,NC,Non classé
Chézery-Forens,01104,210101044,NC,Non classé
Civrieux,01105,210101051,LNC,Non classé
Cize,01106,210101069,NC,Non classé
Cleyzieu,01107,210101077,NC,Non classé
Coligny,01108,210101085,LNC,Non classé
Collonges,01109,210101093,LNC,Non classé
Colomieu,01110,210101101,,
Conand,01111,210101119,NC,Non classé
Condamine,01112,210101127,NC,Non classé
Condeissiat,01113,210101135,NC,Non classé
Confort,01114,210101143,NC,Non classé
Confrançon,01115,210101150,LNC,Non classé
Contrevoz,01116,210101168,NC,Non classé
Conzieu,01117,210101176,NC,Non classé
Corbonod,01118,210101184,LNC,Non classé
Corlier,01121,210101218,NC,Non classé
Cormoranche-Sur-Saône,01123,210101234,LNC,Non classé
Cormoz,01124,210101242,NC,Non classé
Corveissiat,01125,210101259,NC,Non classé
Courmangoux,01127,210101275,NC,Non classé
Courtes,01128,210101283,NC,Non classé
Crans,01129,210101291,NC,Non classé
Bresse Vallons,01130,200086965,LNC,Non classé
Cressin-Rochefort,01133,210101333,NC,Non classé
Crottet,01134,210101341,LNC,Non classé
Crozet,01135,210101358,LNC,Non classé
Cruzilles-Lès-Mépillat,01136,210101366,NC,Non classé
Culoz-Béon,01138,210101382,LNC,Non classé
Curciat-Dongalon,01139,210101390,NC,Non classé
Curtafond,01140,210101408,NC,Non classé
Cuzieu,01141,210101416,NC,Non classé
Dagneux,01142,210101424,,
Divonne-Les-Bains,01143,210101432,LDVD,Droite
Dompierre-Sur-Veyle,01145,210101457,LNC,Non classé
Dompierre-Sur-Chalaronne,01146,210101465,NC,Non classé
Domsure,01147,210101473,NC,Non classé
Dortan,01148,210101481,LNC,Non classé
Douvres,01149,210101499,LNC,Non classé
Drom,01150,210101507,NC,Non classé
Druillat,01151,210101515,LNC,Non classé
Echallon,01152,210101523,NC,Non classé
Echenevex,01153,210101531,LNC,Non classé
Evosges,01155,210101556,NC,Non classé
Faramans,01156,210101564,NC,Non classé
Fareins,01157,210101572,LNC,Non classé
Farges,01158,210101580,LNC,Non classé
Feillens,01159,210101598,LNC,Non classé
Ferney-Voltaire,01160,210101606,LDVD,Droite
Flaxieu,01162,210101622,NC,Non classé
Foissiat,01163,210101630,LNC,Non classé
Francheleins,01165,210101655,LNC,Non classé
Frans,01166,210101663,LNC,Non classé
Garnerans,01167,210101671,NC,Non classé
Genouilleux,01169,210101697,NC,Non classé
Beard-Géovreissiat,01170,210101705,LNC,Non classé
Géovreisset,01171,210101713,NC,Non classé
Gex,01173,210101739,LDVD,Droite
Giron,01174,210101747,NC,Non classé
Gorrevod,01175,210101754,NC,Non classé
Grand-Corent,01177,210101770,NC,Non classé
Grièges,01179,210101796,LNC,Non classé
Grilly,01180,210101804,NC,Non classé
Groissiat,01181,210101812,LNC,Non classé
Guéreins,01183,210101838,LNC,Non classé
Hautecourt-Romanèche,01184,210101846,NC,Non classé
Plateau D'Hauteville,01185,200086122,LDVD,Droite
Haut Valromey,01187,200053676,NC,Non classé
Illiat,01188,210101887,NC,Non classé
Injoux-Génissiat,01189,210101895,,
Innimond,01190,210101903,NC,Non classé
Izenave,01191,210101911,NC,Non classé
Izernore,01192,210101929,LNC,Non classé
Izieu,01193,210101937,NC,Non classé
Jassans-Riottier,01194,210101945,LDVD,Droite
Jasseron,01195,210101952,LNC,Non classé
Jayat,01196,210101960,LNC,Non classé
Journans,01197,210101978,NC,Non classé
Joyeux,01198,210101986,NC,Non classé
Jujurieux,01199,210101994,LNC,Non classé
Labalme,01200,210102000,NC,Non classé
Lagnieu,01202,210102026,LDVD,Droite
Laiz,01203,210102034,LNC,Non classé
Le Poizat-Lalleyriat,01204,200053395,NC,Non classé
Lantenay,01206,210102067,NC,Non classé
Lapeyrouse,01207,210102075,NC,Non classé
Lavours,01208,210102083,NC,Non classé
Léaz,01209,210102091,NC,Non classé
Lélex,01210,210102109,NC,Non classé
Lent,01211,210102117,LNC,Non classé
Lescheroux,01212,210102125,NC,Non classé
Leyment,01213,210102133,,
Leyssard,01214,210102141,NC,Non classé
